📺央视卫视频道,#genre#
CCTV6,http://182.140.110.75:5050/rtp/239.94.0.34:5140
CCTV7,http://182.140.110.75:5050/rtp/239.94.0.7:5140
CCTV8,http://182.140.110.75:5050/rtp/239.94.0.8:5140
CCTV8,http://182.140.110.75:5050/rtp/239.94.0.35:5140
CCTV8,http://182.140.110.75:5050/rtp/239.94.2.29:5140
CCTV9,http://182.140.110.75:5050/rtp/239.94.2.32:5140
CCTV9,http://182.140.110.75:5050/rtp/239.94.0.9:5140
CCTV10,http://182.140.110.75:5050/rtp/239.94.0.10:5140
CCTV10,http://182.140.110.75:5050/rtp/239.94.2.31:5140
CCTV11,http://182.140.110.75:5050/rtp/239.94.0.11:5140
CCTV11,http://182.140.110.75:5050/rtp/239.94.0.36:5140
CCTV12,http://182.140.110.75:5050/rtp/239.94.0.12:5140
CCTV13,http://182.140.110.75:5050/rtp/239.94.0.13:5140
CCTV13,http://182.140.110.75:5050/rtp/239.94.0.37:5140
CCTV14,http://182.140.110.75:5050/rtp/239.94.0.14:5140
CCTV15,http://182.140.110.75:5050/rtp/239.94.0.15:5140
CCTV15,http://182.140.110.75:5050/rtp/239.94.0.38:5140
CCTV17,http://182.140.110.75:5050/rtp/239.94.0.39:5140
CCTV17,http://182.140.110.75:5050/rtp/239.94.0.17:5140
CETV1,http://182.140.110.75:5050/rtp/239.94.1.2:5140
CETV4,http://182.140.110.75:5050/rtp/239.94.1.20:5140
CGTN,http://182.140.110.75:5050/rtp/239.94.0.22:5140
CGTN,http://182.140.110.75:5050/rtp/239.94.0.40:5140
CGTN西语,http://182.140.110.75:5050/rtp/239.94.1.61:5140
CGTN西语,http://182.140.110.75:5050/rtp/239.94.1.65:5140
CGTN法语,http://182.140.110.75:5050/rtp/239.94.1.62:5140
CGTN法语,http://182.140.110.75:5050/rtp/239.94.1.66:5140
CHC影迷电影,http://182.140.110.75:5050/rtp/239.94.1.174:5140
CHC家庭影院,http://182.140.110.75:5050/rtp/239.94.1.173:5140
CHC动作电影,http://182.140.110.75:5050/rtp/239.94.1.175:5140
梨园频道,http://182.140.110.75:5050/rtp/239.94.1.16:5140
天元围棋,http://182.140.110.75:5050/rtp/239.94.1.152:5140
法治天地,http://182.140.110.75:5050/rtp/239.94.1.166:5140
游戏风云,http://182.140.110.75:5050/rtp/239.94.1.46:5140
茶频道,http://182.140.110.75:5050/rtp/239.94.1.154:5140
金色学堂,http://182.140.110.75:5050/rtp/239.94.1.165:5140
金鹰纪实,http://182.140.110.75:5050/rtp/239.94.1.1:5140
环球旅游,http://182.140.110.75:5050/rtp/239.94.1.147:5140
