2025/09/21 15:37更新,#genre#
//#公众号：榴芒电视
//资源库：https://flowus.cn/kdsb
🐼版权误删,#genre#
CDTV8购物,http://171.213.233.99:4000/rtp/239.10.0.33:5140
IPTV国学,http://171.213.233.99:4000/rtp/239.10.0.186:5140
IPTV地理,http://171.213.233.99:4000/rtp/239.10.0.190:5140
IPTV戏曲,http://171.213.233.99:4000/rtp/239.10.0.150:5140
IPTV高网,http://171.213.233.99:4000/rtp/239.10.0.164:5140
四川移动-组播4,#genre#
四川卫视,http://171.213.237.97:4000/rtp/239.11.0.78:5140
康巴卫视,http://171.213.237.97:4000/rtp/239.11.0.10:5140
四川影视文艺,http://171.213.237.97:4000/rtp/239.11.0.77:5140
四川科教频道,http://171.213.237.97:4000/rtp/239.11.0.194:5140
四川峨眉电影,http://171.213.237.97:4000/rtp/239.11.0.11:5140
CDTV1综合,http://171.213.237.97:4000/rtp/239.10.0.11:5140
CDTV2经济,http://171.213.237.97:4000/rtp/239.10.0.12:5140
CDTV3生活,http://171.213.237.97:4000/rtp/239.10.0.13:5140
CDTV4影视,http://171.213.237.97:4000/rtp/239.10.0.14:5140
CDTV5公共,http://171.213.237.97:4000/rtp/239.10.0.15:5140
CDTV6少儿,http://171.213.237.97:4000/rtp/239.10.0.16:5140
CCTV-1综合,http://171.213.237.97:4000/rtp/239.11.0.65:5140
CCTV-2财经,http://171.213.237.97:4000/rtp/239.11.0.108:5140
CCTV-3综艺,http://171.213.237.97:4000/rtp/239.11.0.101:5140
CCTV-4中文国际,http://171.213.237.97:4000/rtp/239.11.0.109:5140
CCTV-5体育,http://171.213.237.97:4000/rtp/239.11.0.100:5140
CCTV-5+体育赛事,http://171.213.237.97:4000/rtp/239.11.0.241:5140
CCTV-6电影,http://171.213.237.97:4000/rtp/239.11.0.102:5140
CCTV-7国防军事,http://171.213.237.97:4000/rtp/239.11.0.110:5140
CCTV-8电视剧,http://171.213.237.97:4000/rtp/239.11.0.103:5140
CCTV-9纪录,http://171.213.237.97:4000/rtp/239.11.0.111:5140
CCTV-10科教,http://171.213.237.97:4000/rtp/239.11.0.112:5140
